rank,release,gross,theaters,total_gross,release_date,distributor,release_month,release_quarter
125,Dream Scenario,"$5,615,011",1578,"$5,693,190",2023-11-10,A24,11,4
126,The Fabelmans,"$5,541,550",1962,"$17,348,945",2023-11-11,Universal Pictures,11,4
127,The Chosen Season 3 Finale,"$5,525,069",1979,"$5,525,069",2023-02-02,Fathom Events,2,1
128,Nefarious,"$5,433,685",933,"$5,433,685",2023-04-14,Soli Deo Gloria Releasing,4,2
129,Big George Foreman,"$5,426,772",3054,"$5,426,772",2023-04-28,Sony Pictures Releasing,4,2
130,Waitress: The Musical,"$5,402,148",1214,"$5,402,148",2023-12-07,Bleecker Street Media,12,4
131,Tiger 3,"$5,365,263",779,"$5,365,263",2023-11-11,Yash Raj Films USA Inc.,11,4
132,Women Talking,"$5,321,627",707,"$5,456,531",2023-12-23,United Artists Releasing,12,4
133,Freelance,"$5,314,136",2057,"$5,314,136",2023-10-27,Relativity Media,10,4
134,Infinity Pool,"$5,078,400",1835,"$5,078,400",2023-01-27,Neon,1,1
135,Hocus Pocus30th Anniversary re-release,"$4,929,004",1430,"$4,929,004",2023-10-06,Walt Disney Studios Motion Pictures,10,4
136,You Hurt My Feelings,"$4,830,788",912,"$4,830,788",2023-05-26,A24,5,2
137,Kandahar,"$4,813,132",2105,"$4,813,132",2023-05-26,Open Road Films (II),5,2
138,Golda,"$4,801,781",883,"$4,801,781",2023-08-25,Bleecker Street Media,8,3
139,It Lives Inside,"$4,675,092",2005,"$4,675,092",2023-09-22,Neon,9,3
140,Hypnotic,"$4,500,169",2118,"$4,500,169",2023-05-12,Ketchup Entertainment,5,2
141,Stop Making Sense2023 Re-release,"$4,403,500",786,"$5,066,072",2023-09-22,-,9,3
142,Marlowe,"$4,350,243",2281,"$4,350,243",2023-02-15,Open Road Films (II),2,1
143,The Amazing Maurice,"$4,303,645",1717,"$4,303,645",2023-02-03,Viva Pictures,2,1
144,Mummies,"$4,275,970",384,"$4,275,970",2023-02-24,Warner Bros.,2,1
145,Theater Camp,"$4,009,945",555,"$4,009,945",2023-07-14,Searchlight Pictures,7,3
146,Ponniyin Selvan: Part Two,"$3,813,000",-,"$3,813,000",2023-04-28,-,4,2
147,Anatomy of a Fall,"$3,742,039",583,"$4,413,930",2023-10-13,-,10,4
148,Left Behind: Rise of the Antichrist,"$3,649,422",1407,"$3,649,422",2023-01-26,Fathom Events,1,1
149,The Journey: A Music Special from Andrea Bocelli,"$3,574,915",1074,"$3,574,915",2023-04-02,Fathom Events,4,2
